Total cycle count,Time,Extension,Load
,(s),(mm),(N)
"2.00000","2.77700","0.25862","1.63788"
"2.00000","2.78200","0.28438","2.38295"
"2.00000","2.78700","0.30996","3.14810"
"2.00000","2.79200","0.33540","3.95003"
"2.00000","2.79700","0.36072","4.77295"
"2.00000","2.80200","0.38596","5.61532"
"2.00000","2.80700","0.41112","6.49980"
"2.00000","2.81200","0.43624","7.39887"
"2.00000","2.81700","0.46133","8.32512"
"2.00000","2.82200","0.48641","9.26416"
"2.00000","2.82700","0.51148","10.20857"
"2.00000","2.83200","0.53656","11.16340"
"2.00000","2.83700","0.56163","12.10668"
"2.00000","2.84200","0.58670","13.04709"
"2.00000","2.84700","0.61175","13.98525"
"2.00000","2.85200","0.63681","14.91212"
"2.00000","2.85700","0.66186","15.84933"
"2.00000","2.86200","0.68691","16.78943"
"2.00000","2.86700","0.71198","17.74681"
"2.00000","2.87200","0.73704","18.72009"
"2.00000","2.87700","0.76211","19.70214"
"2.00000","2.88200","0.78718","20.70901"
"2.00000","2.88700","0.81224","21.72444"
"2.00000","2.89200","0.83729","22.74475"
"2.00000","2.89700","0.86234","23.77422"
"2.00000","2.90200","0.88739","24.79479"
"2.00000","2.90700","0.91242","25.81977"
"2.00000","2.91200","0.93745","26.84109"
"2.00000","2.91700","0.96248","27.86439"
"2.00000","2.92200","0.98750","28.89672"
"2.00000","2.92700","1.01252","29.93096"
"2.00000","2.93200","1.03754","30.98295"
"2.00000","2.93700","1.06256","32.04648"
"2.00000","2.94200","1.08758","33.12246"
"2.00000","2.94700","1.11259","34.21426"
"2.00000","2.95200","1.13760","35.30714"
"2.00000","2.95700","1.16260","36.41514"
"2.00000","2.96200","1.18760","37.52015"
"2.00000","2.96700","1.21260","38.62416"
"2.00000","2.97200","1.23760","39.73059"
"2.00000","2.97700","1.26261","40.82727"
"2.00000","2.98200","1.28762","41.92868"
"2.00000","2.98700","1.31262","43.02997"
"2.00000","2.99200","1.33763","44.14555"
"2.00000","2.99700","1.36262","45.27157"
"2.00000","3.00200","1.38762","46.40894"
"2.00000","3.00700","1.41261","47.55832"
"2.00000","3.01200","1.43761","48.71469"
"2.00000","3.01700","1.46261","49.88010"
"2.00000","3.02200","1.48761","51.04911"
"2.00000","3.02700","1.51262","52.21053"
"2.00000","3.03200","1.53762","53.38051"
"2.00000","3.03700","1.56261","54.54267"
"2.00000","3.04200","1.58760","55.71130"
"2.00000","3.04700","1.61260","56.88453"
"2.00000","3.05200","1.63759","58.05813"
"2.00000","3.05700","1.66259","59.24619"
"2.00000","3.06200","1.68760","60.44344"
"2.00000","3.06700","1.71260","61.65350"
"2.00000","3.07200","1.73760","62.87505"
"2.00000","3.07700","1.76260","64.09346"
"2.00000","3.08200","1.78759","65.31709"
"2.00000","3.08700","1.81258","66.53720"
